title,interviewsNo,facilityId,firstChoiceDate,firstChoiceTimeFrom,firstChoiceTimeTo,secondChoiceDate,secondChoiceTimeFrom,secondChoiceTimeTo,thirdChoiceDate,thirdChoiceTimeFrom,thirdChoiceTimeTo,reservationFixDate,reservationFixTimeFrom,reservationFixTimeTo,reservationMethod,status,parentName,parentKana,postalCode,address1,address2,buildingNameRoomNumber,tel,email,relationship,emergencyContactName1,emergencyContactKana1,emergencyContactRelationship1,emergencyContactCompany1,emergencyContactTel1,emergencyContactEmail1,emergencyContactName2,emergencyContactKana2,emergencyContactRelationship2,emergencyContactCompany2,emergencyContactTel2,emergencyContactEmail2,emergencyContactName3,emergencyContactKana3,emergencyContactRelationship3,emergencyContactCompany3,emergencyContactTel3,emergencyContactEmail3,welfareHouseholdFlag,taxExemptHouseholdFlag,singleParentHouseholdFlag,fatherlessFlag,multipleBirthsHouseholdFlag,limitApprovalFlag,childcareBusinessUserFlag,noChildcareProvidedFlag,limitOverApprovalFlag,regularUseFlag,singleUseFlag,childName,childKana,childBirth,registAge,childGender,bloodType,childMedicalHistoryFlag,childMedicalHistoryContent,childAllergyFlag,allergyCauses1,allergySymptoms1,allergyTreatments1,allergyConcerns1,allergyCauses2,allergySymptoms2,allergyTreatments2,allergyConcerns2,allergyCauses3,allergySymptoms3,allergyTreatments3,allergyConcerns3,brothersSistersFlag,multipleBirthsFlag,disabilitiesFlag,note,interviewDate,permitFlag,reason,facilityNumber,birthHeight,birthWeight,normal,healthPhysical,familyHospital,familyHospitalTel,bedTime,wakeupTime,napTime,napStartTime,napEndTime,putToSleep,fallAsleep,excretion,leaveChildFlag,leaveChildTo,userId,childId
11 - 子供 2,11,a0005,2021/02/12,1600,0,,0,0,,0,0,2021/02/12,1600,0,,,赤木 広之,アカギ ヒロユキ,2310005,神奈川県横浜市中区本町,６丁目５０−１０,,080-4689-2463,slk.ty.yamaguchi+111@gmail.com,,赤木 優,アカギ ユウ,祖母,,,,,,,,,,,,,,,,,,,,,,,,,,,赤木 光良,アカギ テルヨシ,2021/1/29,1,男,AB型,,,,,,,,,,,,,,,,,,,,2021/02/12,,,,0,0,0,0,,,,,,,,,,,,,d1878acc-16a6-4061-b8ea-29b9555edb5f,shibata11
11 - 子供 2,12,a0005,2019/12/06,1100,0,,0,0,,0,0,2019/12/06,1100,0,,,赤木 広之,アカギ ヒロユキ,2310005,神奈川県横浜市中区本町,６丁目５０−１０,,080-4689-2463,slk.ty.yamaguchi+111@gmail.com,,赤木 優,アカギ ユウ,祖母,,,,,,,,,,,,,,,,,,,,,,,,,,,赤木 はるか,アカギ ハルカ,2017/12/24,4,女,O型,,,,,,,,,,,,,,,,,,,,2019/12/06,,,,0,0,0,0,,,,,,,,,,,,,d1878acc-16a6-4061-b8ea-29b9555edb5f,shibata12
12 - 子供 2,13,a0005,2016/06/20,1000,0,,0,0,,0,0,2016/06/20,1000,0,,,菅野 みき,スガノ ミキ,2310005,神奈川県横浜市中区本町,６丁目５０−１０,,090-4679-6376,slk.ty.yamaguchi+112@gmail.com,,菅野 あき,スガノ アキ,祖母,,,,,,,,,,,,,,,,,,,,,,,,,,,菅野 優,スガノ ユウ,2015/8/9,6,女,A型,,,,,,,,,,,,,,,,,,,,2016/06/20,,,,0,0,0,0,,,,,,,,,,,,,25af3cf1-c791-4df6-8509-aebbf7feb7aa,shibata13
12 - 子供 2,14,a0005,2019/08/15,1000,0,,0,0,,0,0,2019/08/15,1000,0,,,菅野 みき,スガノ ミキ,2310005,神奈川県横浜市中区本町,６丁目５０−１０,,090-4679-6376,slk.ty.yamaguchi+112@gmail.com,,菅野 あき,スガノ アキ,祖母,,,,,,,,,,,,,,,,,,,,,,,,,,,菅野 知世,スガノ チセ,2015/4/3,6,女,O型,,,,,,,,,,,,,,,,,,,,2019/08/15,,,,0,0,0,0,,,,,,,,,,,,,25af3cf1-c791-4df6-8509-aebbf7feb7aa,shibata14
13 - 子供 2,15,a0005,2018/08/08,1300,0,,0,0,,0,0,2018/08/08,1300,0,,,甲斐 徹平,カイ テッペイ,2310005,神奈川県横浜市中区本町,６丁目５０−１０,,080- 940-3525,slk.ty.yamaguchi+113@gmail.com,,甲斐 薫,カイ カオル,祖母,,,,,,,,,,,,,,,,,,,,,,,,,,,甲斐 知世,カイ チセ,2016/12/27,5,女,O型,,,,,,,,,,,,,,,,,,,,2018/08/08,,,,0,0,0,0,,,,,,,,,,,,,3e855152-51cc-4d10-a550-2aea4a571ccd,shibata15
13 - 子供 2,16,a0005,2021/07/22,1600,0,,0,0,,0,0,2021/07/22,1600,0,,,甲斐 徹平,カイ テッペイ,2310005,神奈川県横浜市中区本町,６丁目５０−１０,,080- 940-3525,slk.ty.yamaguchi+113@gmail.com,,甲斐 薫,カイ カオル,祖母,,,,,,,,,,,,,,,,,,,,,,,,,,,甲斐 友以乃,カイ ユイノ,2021/3/19,0,女,A型,,,,,,,,,,,,,,,,,,,,2021/07/22,,,,0,0,0,0,,,,,,,,,,,,,3e855152-51cc-4d10-a550-2aea4a571ccd,shibata16
14 - 子供 2,17,a0005,2018/09/06,1500,0,,0,0,,0,0,2018/09/06,1500,0,,,三浦 美優,ミウラ ミュウ,2310005,神奈川県横浜市中区本町,６丁目５０−１０,,080-5225-5850,slk.ty.yamaguchi+114@gmail.com,,三浦 晴臣,ミウラ ハルオミ,祖父,,,,,,,,,,,,,,,,,,,,,,,,,,,三浦 宏行,ミウラ ヒロユキ,2017/10/25,4,男,AB型,,,,,,,,,,,,,,,,,,,,2018/09/06,,,,0,0,0,0,,,,,,,,,,,,,f742b9b0-d7e6-436a-b8ea-5a18d4124059,shibata17
14 - 子供 2,18,a0005,2021/03/25,1200,0,,0,0,,0,0,2021/03/25,1200,0,,,三浦 美優,ミウラ ミュウ,2310005,神奈川県横浜市中区本町,６丁目５０−１０,,080-5225-5850,slk.ty.yamaguchi+114@gmail.com,,三浦 晴臣,ミウラ ハルオミ,祖父,,,,,,,,,,,,,,,,,,,,,,,,,,,三浦 育子,ミウラ イクコ,2020/9/14,1,女,O型,,,,,,,,,,,,,,,,,,,,2021/03/25,,,,0,0,0,0,,,,,,,,,,,,,f742b9b0-d7e6-436a-b8ea-5a18d4124059,shibata18
15 - 子供 2,19,a0005,2021/07/16,1300,0,,0,0,,0,0,2021/07/16,1300,0,,,小栗 みあ,オグリ ミア,2310005,神奈川県横浜市中区本町,６丁目５０−１０,,080-6837-9865,slk.ty.yamaguchi+115@gmail.com,,小栗 草太,オグリ ソウタ,祖父,,,,,,,,,,,,,,,,,,,,,,,,,,,小栗 京子,オグリ キョウコ,2016/11/2,5,女,A型,,,,,,,,,,,,,,,,,,,,2021/07/16,,,,0,0,0,0,,,,,,,,,,,,,e31c2b5b-3718-4de3-bade-c4e8cdef6bb8,shibata19
15 - 子供 2,20,a0005,2020/12/13,1700,0,,0,0,,0,0,2020/12/13,1700,0,,,小栗 みあ,オグリ ミア,2310005,神奈川県横浜市中区本町,６丁目５０−１０,,080-6837-9865,slk.ty.yamaguchi+115@gmail.com,,小栗 草太,オグリ ソウタ,祖父,,,,,,,,,,,,,,,,,,,,,,,,,,,小栗 雅彦,オグリ マサヒコ,2016/12/8,5,男,B型,,,,,,,,,,,,,,,,,,,,2020/12/13,,,,0,0,0,0,,,,,,,,,,,,,e31c2b5b-3718-4de3-bade-c4e8cdef6bb8,shibata20
16 - 子供 2,21,a0005,2022/01/18,1400,0,,0,0,,0,0,2022/01/18,1400,0,,,武井 崇史,タケイ タカシ,2310005,神奈川県横浜市中区本町,６丁目５０−１０,,080-1216-9007,slk.ty.yamaguchi+116@gmail.com,,武井 美幸,タケイ ミユキ,祖母,,,,,,,,,,,,,,,,,,,,,,,,,,,武井 直人,タケイ ナオト,2021/10/15,0,男,O型,,,,,,,,,,,,,,,,,,,,2022/01/18,,,,0,0,0,0,,,,,,,,,,,,,95372763-d862-4211-94a2-e45f27e96206,shibata21
16 - 子供 2,22,a0005,2021/08/24,1300,0,,0,0,,0,0,2021/08/24,1300,0,,,武井 崇史,タケイ タカシ,2310005,神奈川県横浜市中区本町,６丁目５０−１０,,080-1216-9007,slk.ty.yamaguchi+116@gmail.com,,武井 美幸,タケイ ミユキ,祖母,,,,,,,,,,,,,,,,,,,,,,,,,,,武井 華子,タケイ ハナコ,2018/1/19,4,女,B型,,,,,,,,,,,,,,,,,,,,2021/08/24,,,,0,0,0,0,,,,,,,,,,,,,95372763-d862-4211-94a2-e45f27e96206,shibata22
17 - 子供 3,23,a0005,2021/06/04,1600,0,,0,0,,0,0,2021/06/04,1600,0,,,熊倉 美和子,クマクラ ミワコ,2310005,神奈川県横浜市中区本町,６丁目５０−１０,,080-2783-3617,slk.ty.yamaguchi+117@gmail.com,,熊倉 きみまろ,クマクラ キミマロ,祖父,,,,,,,,,,,,,,,,,,,,,,,,,,,熊倉 あい,クマクラ アイ,2021/4/25,0,女,A型,,,,,,,,,,,,,,,,,,,,2021/06/04,,,,0,0,0,0,,,,,,,,,,,,,a5d9ed33-be8f-4798-81a5-a2b71313687d,shibata23
17 - 子供 3,24,a0005,2018/06/09,1000,0,,0,0,,0,0,2018/06/09,1000,0,,,熊倉 美和子,クマクラ ミワコ,2310005,神奈川県横浜市中区本町,６丁目５０−１０,,080-2783-3617,slk.ty.yamaguchi+117@gmail.com,,熊倉 きみまろ,クマクラ キミマロ,祖父,,,,,,,,,,,,,,,,,,,,,,,,,,,熊倉 勇,クマクラ ユウ,2017/11/7,4,女,A型,,,,,,,,,,,,,,,,,,,,2018/06/09,,,,0,0,0,0,,,,,,,,,,,,,a5d9ed33-be8f-4798-81a5-a2b71313687d,shibata24
17 - 子供 3,25,a0005,2018/08/27,1300,0,,0,0,,0,0,2018/08/27,1300,0,,,熊倉 美和子,クマクラ ミワコ,2310005,神奈川県横浜市中区本町,６丁目５０−１０,,080-2783-3617,slk.ty.yamaguchi+117@gmail.com,,熊倉 きみまろ,クマクラ キミマロ,祖父,,,,,,,,,,,,,,,,,,,,,,,,,,,熊倉 菜々美,クマクラ ナナミ,2015/5/21,6,女,O型,,,,,,,,,,,,,,,,,,,,2018/08/27,,,,0,0,0,0,,,,,,,,,,,,,a5d9ed33-be8f-4798-81a5-a2b71313687d,shibata25
18 - 子供 3,26,a0005,2019/02/11,1100,0,,0,0,,0,0,2019/02/11,1100,0,,,豊田 美月,トヨタ ミヅキ,2310005,神奈川県横浜市中区本町,６丁目５０−１０,,080-6784-2139,slk.ty.yamaguchi+118@gmail.com,,豊田 恵子,トヨタ ケイコ,祖母,,,,,,,,,,,,,,,,,,,,,,,,,,,豊田 佑,トヨタ タスク,2018/7/28,3,男,O型,,,,,,,,,,,,,,,,,,,,2019/02/11,,,,0,0,0,0,,,,,,,,,,,,,a6618226-2417-4496-a7ba-e9bf64144d0a,shibata26
18 - 子供 3,27,a0005,2021/12/19,1300,0,,0,0,,0,0,2021/12/19,1300,0,,,豊田 美月,トヨタ ミヅキ,2310005,神奈川県横浜市中区本町,６丁目５０−１０,,080-6784-2139,slk.ty.yamaguchi+118@gmail.com,,豊田 恵子,トヨタ ケイコ,祖母,,,,,,,,,,,,,,,,,,,,,,,,,,,豊田 長利,トヨタ ナガトシ,2021/11/17,0,男,O型,,,,,,,,,,,,,,,,,,,,2021/12/19,,,,0,0,0,0,,,,,,,,,,,,,a6618226-2417-4496-a7ba-e9bf64144d0a,shibata27
18 - 子供 3,28,a0005,2021/08/05,1600,0,,0,0,,0,0,2021/08/05,1600,0,,,豊田 美月,トヨタ ミヅキ,2310005,神奈川県横浜市中区本町,６丁目５０−１０,,080-6784-2139,slk.ty.yamaguchi+118@gmail.com,,豊田 恵子,トヨタ ケイコ,祖母,,,,,,,,,,,,,,,,,,,,,,,,,,,豊田 美嘉,トヨタ ミカ,2021/4/8,0,女,A型,,,,,,,,,,,,,,,,,,,,2021/08/05,,,,0,0,0,0,,,,,,,,,,,,,a6618226-2417-4496-a7ba-e9bf64144d0a,shibata28
19 - 子供 3,29,a0005,2021/11/15,1100,0,,0,0,,0,0,2021/11/15,1100,0,,,河野 敏也,コウノ トシヤ,2310005,神奈川県横浜市中区本町,６丁目５０−１０,,080-7020- 245,slk.ty.yamaguchi+119@gmail.com,,河野 陽子,コウノ ヨウコ,祖母,,,,,,,,,,,,,,,,,,,,,,,,,,,河野 あさみ,コウノ アサミ,2021/4/25,0,女,A型,,,,,,,,,,,,,,,,,,,,2021/11/15,,,,0,0,0,0,,,,,,,,,,,,,2fd4a778-de77-4e31-b4bf-6f1cadac2dc5,shibata29
19 - 子供 3,30,a0005,2021/05/26,1500,0,,0,0,,0,0,2021/05/26,1500,0,,,河野 敏也,コウノ トシヤ,2310005,神奈川県横浜市中区本町,６丁目５０−１０,,080-7020- 245,slk.ty.yamaguchi+119@gmail.com,,河野 陽子,コウノ ヨウコ,祖母,,,,,,,,,,,,,,,,,,,,,,,,,,,河野 信輔,コウノ シンスケ,2020/6/10,1,男,O型,,,,,,,,,,,,,,,,,,,,2021/05/26,,,,0,0,0,0,,,,,,,,,,,,,2fd4a778-de77-4e31-b4bf-6f1cadac2dc5,shibata30
19 - 子供 3,31,a0005,2021/11/07,1400,0,,0,0,,0,0,2021/11/07,1400,0,,,河野 敏也,コウノ トシヤ,2310005,神奈川県横浜市中区本町,６丁目５０−１０,,080-7020- 245,slk.ty.yamaguchi+119@gmail.com,,河野 陽子,コウノ ヨウコ,祖母,,,,,,,,,,,,,,,,,,,,,,,,,,,河野 結衣,コウノ ユイ,2021/9/17,0,女,O型,,,,,,,,,,,,,,,,,,,,2021/11/07,,,,0,0,0,0,,,,,,,,,,,,,2fd4a778-de77-4e31-b4bf-6f1cadac2dc5,shibata31
20 - 子供 3,32,a0005,2021/12/31,1100,0,,0,0,,0,0,2021/12/31,1100,0,,,長沢 愛菜,ナガサワ アイナ,2310005,神奈川県横浜市中区本町,６丁目５０−１０,,080-9459-9179,slk.ty.yamaguchi+120@gmail.com,,長沢 めぐみ,ナガサワ メグミ,祖母,,,,,,,,,,,,,,,,,,,,,,,,,,,長沢 結衣,ナガサワ ユイ,2021/9/17,0,女,O型,,,,,,,,,,,,,,,,,,,,2021/12/31,,,,0,0,0,0,,,,,,,,,,,,,3f6f4e41-2d4f-4467-814f-f360fa3c2372,shibata32
20 - 子供 3,33,a0005,2019/11/09,1100,0,,0,0,,0,0,2019/11/09,1100,0,,,長沢 愛菜,ナガサワ アイナ,2310005,神奈川県横浜市中区本町,６丁目５０−１０,,080-9459-9179,slk.ty.yamaguchi+120@gmail.com,,長沢 めぐみ,ナガサワ メグミ,祖母,,,,,,,,,,,,,,,,,,,,,,,,,,,長沢 千佳子,ナガサワ チカコ,2015/7/19,6,女,B型,,,,,,,,,,,,,,,,,,,,2019/11/09,,,,0,0,0,0,,,,,,,,,,,,,3f6f4e41-2d4f-4467-814f-f360fa3c2372,shibata33
20 - 子供 3,34,a0005,2022/01/20,1300,0,,0,0,,0,0,2022/01/20,1300,0,,,長沢 愛菜,ナガサワ アイナ,2310005,神奈川県横浜市中区本町,６丁目５０−１０,,080-9459-9179,slk.ty.yamaguchi+120@gmail.com,,長沢 めぐみ,ナガサワ メグミ,祖母,,,,,,,,,,,,,,,,,,,,,,,,,,,長沢 一徳,ナガサワ イットク,2018/11/22,3,男,AB型,,,,,,,,,,,,,,,,,,,,2022/01/20,,,,0,0,0,0,,,,,,,,,,,,,3f6f4e41-2d4f-4467-814f-f360fa3c2372,shibata34
21 - 双子,35,a0005,2021/05/02,1200,0,,0,0,,0,0,2021/05/02,1200,0,,,井川 詩織,イガワ シオリ,2310005,神奈川県横浜市中区本町,６丁目５０−１０,,080-1706- 874,slk.ty.yamaguchi+121@gmail.com,,井川 貴美子,イガワ キミコ,祖母,,,,,,,,,,,,,,,,,,,,,,,,,,,井川 なつみ,イガワ ナツミ,2019/10/14,2,女,B型,,,,,,,,,,,,,,,,,,,,2021/05/02,,,,0,0,0,0,,,,,,,,,,,,,56244435-89fe-42b6-9f51-faf4d45ff45b,shibata35
21 - 双子,36,a0005,2021/07/27,1500,0,,0,0,,0,0,2021/07/27,1500,0,,,井川 詩織,イガワ シオリ,2310005,神奈川県横浜市中区本町,６丁目５０−１０,,080-1706- 874,slk.ty.yamaguchi+121@gmail.com,,井川 貴美子,イガワ キミコ,祖母,,,,,,,,,,,,,,,,,,,,,,,,,,,井川 大五郎,イガワ ダイゴロウ,2019/10/14,2,男,A型,,,,,,,,,,,,,,,,,,,,2021/07/27,,,,0,0,0,0,,,,,,,,,,,,,56244435-89fe-42b6-9f51-faf4d45ff45b,shibata36
22 - 双子,37,a0005,2022/01/23,1500,0,,0,0,,0,0,2022/01/23,1500,0,,,小畑 彩華,オバタ アヤカ,2310005,神奈川県横浜市中区本町,６丁目５０−１０,,080-5486- 680,slk.ty.yamaguchi+122@gmail.com,,小畑 美紀,オバタ ミキ,祖母,,,,,,,,,,,,,,,,,,,,,,,,,,,小畑 高史,オバタ タカシ,2022/1/17,0,男,O型,,,,,,,,,,,,,,,,,,,,2022/01/23,,,,0,0,0,0,,,,,,,,,,,,,600d2719-ab1f-40bf-bcff-af56c39f7fc2,shibata37
22 - 双子,38,a0005,2022/02/01,1300,0,,0,0,,0,0,2022/02/01,1300,0,,,小畑 彩華,オバタ アヤカ,2310005,神奈川県横浜市中区本町,６丁目５０−１０,,080-5486- 680,slk.ty.yamaguchi+122@gmail.com,,小畑 美紀,オバタ ミキ,祖母,,,,,,,,,,,,,,,,,,,,,,,,,,,小畑 守,オバタ マモル,2022/1/17,0,男,A型,,,,,,,,,,,,,,,,,,,,2022/02/01,,,,0,0,0,0,,,,,,,,,,,,,600d2719-ab1f-40bf-bcff-af56c39f7fc2,shibata38
23 - 双子 + 1,39,a0005,2021/08/27,1600,0,,0,0,,0,0,2021/08/27,1600,0,,,坂元 美紀,サカモト ミキ,2310005,神奈川県横浜市中区本町,６丁目５０−１０,,090-1555-9551,slk.ty.yamaguchi+123@gmail.com,,坂元 しぼり,サカモト シボリ,祖母,,,,,,,,,,,,,,,,,,,,,,,,,,,坂元 光博,サカモト ミツヒロ,2021/3/24,0,男,O型,,,,,,,,,,,,,,,,,,,,2021/08/27,,,,0,0,0,0,,,,,,,,,,,,,ca0ecbd7-5a76-4c8a-9cca-de19aeea7575,shibata39
23 - 双子 + 1,40,a0005,2021/04/01,1700,0,,0,0,,0,0,2021/04/01,1700,0,,,坂元 美紀,サカモト ミキ,2310005,神奈川県横浜市中区本町,６丁目５０−１０,,090-1555-9551,slk.ty.yamaguchi+123@gmail.com,,坂元 しぼり,サカモト シボリ,祖母,,,,,,,,,,,,,,,,,,,,,,,,,,,坂元 勝久,サカモト カツヒサ,2021/3/24,0,男,O型,,,,,,,,,,,,,,,,,,,,2021/04/01,,,,0,0,0,0,,,,,,,,,,,,,ca0ecbd7-5a76-4c8a-9cca-de19aeea7575,shibata40
23 - 双子 + 1,41,a0005,2021/10/03,1400,0,,0,0,,0,0,2021/10/03,1400,0,,,坂元 美紀,サカモト ミキ,2310005,神奈川県横浜市中区本町,６丁目５０−１０,,090-1555-9551,slk.ty.yamaguchi+123@gmail.com,,坂元 しぼり,サカモト シボリ,祖母,,,,,,,,,,,,,,,,,,,,,,,,,,,坂元 陽介,サカモト ヨウスケ,2019/6/25,2,男,B型,,,,,,,,,,,,,,,,,,,,2021/10/03,,,,0,0,0,0,,,,,,,,,,,,,ca0ecbd7-5a76-4c8a-9cca-de19aeea7575,shibata41
24 - 三子,42,a0005,2021/09/25,1000,0,,0,0,,0,0,2021/09/25,1000,0,,,橘 拓郎,タチバナ タクロウ,2310005,神奈川県横浜市中区本町,６丁目５０−１０,,090-3515-6952,slk.ty.yamaguchi+124@gmail.com,,橘 和久,タチバナ カズヒサ,祖父,,,,,,,,,,,,,,,,,,,,,,,,,,,橘 隆太,タチバナ リュウタ,2015/7/1,6,男,B型,,,,,,,,,,,,,,,,,,,,2021/09/25,,,,0,0,0,0,,,,,,,,,,,,,9ee24234-2b90-4883-a943-b5433a176395,shibata42
